l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11
73.5199,72.7775,73.5174,74.354,73.5682,73.336,75.7205,71.8912,72.0753,71.4888,67.7218,61.8242
73.7358,72.5284,73.403,74.8903,73.2094,73.3762,75.8779,72.2591,71.9455,71.1277,67.636,60.694
74.2307,73.0889,73.3457,74.6535,73.4573,73.0548,75.6204,72.4466,71.7004,71.248,66.451,60.8916
74.3027,72.8709,73.5603,74.6326,73.7052,73.2958,75.5274,71.8696,71.5346,71.7445,67.0357,60.4568
74.0777,72.5518,73.5818,74.6813,73.7508,72.8271,75.9494,71.7037,71.9167,71.6543,66.8252,61.4527
74.1047,73.1745,72.9952,75.1062,73.4247,73.1083,75.6347,71.9345,71.3833,70.8117,67.8388,60.5201
74.1317,72.9176,73.7606,74.7858,73.1833,73.4231,75.6848,71.5739,72.0464,71.5414,67.9479,61.7452
73.5289,73.2135,73.5103,74.5838,73.2355,73.0481,75.8922,72.2519,71.7437,71.564,67.0903,61.8321
73.8708,72.723,73.3028,75.0296,73.4638,73.1284,75.556,71.8912,71.4481,70.9245,67.2384,62.006
73.5559,73.517,73.7749,74.7719,73.3725,73.3963,75.9208,72.526,72.0032,71.4135,67.1293,61.3816
