l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11
74.3657,72.8631,73.589,74.0684,73.2485,73.2624,75.6776,72.1076,71.5707,71.1427,67.332,61.2472
73.6189,73.0033,73.6247,74.6744,73.4377,73.0883,75.7849,72.3168,71.7509,71.1653,66.6927,61.6978
73.2859,73.0188,73.6176,74.542,73.653,73.2021,75.7563,72.1148,71.6716,71.5565,67.5269,60.9311
73.205,72.9021,72.938,74.7789,73.3138,73.2691,75.6132,71.8191,72.1978,71.6693,68.0181,61.7294
73.9068,72.8943,72.7591,74.7858,73.1442,73.249,75.7491,71.9489,71.4481,71.2405,67.6283,61.5792
73.3939,72.7386,73.682,74.2704,73.4247,72.9543,75.6991,72.2735,71.1166,71.895,67.3944,61.3263
74.2037,73.1823,73.5675,74.4515,73.4834,73.1686,75.742,70.3909,71.6716,71.2029,67.8699,61.6266
73.7808,73.3147,73.9323,74.8485,73.2485,73.1351,75.7634,71.7325,71.513,71.579,67.7218,61.1208
73.016,73.3069,73.6748,74.4793,73.4442,73.2289,76.1425,71.6099,71.2751,71.2255,66.8954,61.3737
73.4929,72.6608,73.7034,74.6953,73.1768,73.5704,76.1067,71.8984,71.5346,71.9175,68.2832,61.263
