l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11
73.6908,72.4194,72.473,73.351,73.2029,72.8204,74.6192,71.6244,70.2588,68.5699,65.2425,54.9557
73.3399,72.6218,72.8951,73.8664,72.5245,72.2111,73.2675,69.2729,68.6225,68.2088,64.6421,57.9987
72.4942,72.4895,72.8307,73.4206,72.8702,71.6017,72.5309,70.5136,69.2352,68.1562,62.4669,59.1606
72.4942,72.3494,72.1153,73.7341,73.0007,71.6151,73.7968,70.665,68.4351,68.8558,63.9248,59.2001
73.3219,71.8901,72.8521,73.156,73.1964,72.2178,73.4392,70.1024,69.091,65.7564,64.533,57.6905
72.8811,72.653,71.6933,73.3997,71.5134,72.2044,74.8337,70.6217,69.574,69.6908,64.3926,59.5558
72.0083,71.6176,73.0524,73.6366,72.5179,71.6218,75.2557,70.9391,68.4711,69.4426,65.1645,57.8328
72.989,71.4074,72.3728,74.0545,71.396,72.4119,73.668,70.2467,70.0281,69.3824,65.375,58.6152
72.8361,72.4039,72.9737,73.8176,72.6419,72.1173,74.8123,70.6001,69.6605,68.585,60.8062,58.473
73.7628,72.1937,72.8307,73.8176,72.9354,72.5459,72.7669,69.9437,69.2424,69.0288,63.457,57.6905
