l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11
72.7371,72.2482,72.4301,73.6853,72.4527,72.432,73.2103,69.8716,69.3145,68.2841,63.7923,58.1173
72.8091,71.8901,72.8808,74.152,72.6419,71.9231,74.4833,71.2781,69.2929,69.42,63.4804,57.6905
73.016,72.3182,72.7091,73.6923,72.5701,71.3004,74.2974,71.0762,69.2857,67.6371,65.1333,59.0895
73.3219,71.8589,73.0882,73.3092,72.6354,71.9968,73.8325,71.3358,69.8695,65.8693,63.457,57.7774
73.5739,71.7577,73.4602,73.748,73.5877,72.0303,74.0256,71.6965,69.401,69.1266,64.1899,56.4338
73.6369,72.4428,73.1669,73.9639,72.9941,72.1441,74.1615,70.6001,69.9921,69.0589,62.7086,57.485
72.971,72.4817,73.0739,74.0963,72.8311,71.7022,73.4606,70.6145,68.8604,68.0734,61.6326,59.8403
72.8271,71.7188,72.8593,72.9261,72.8441,72.0236,74.4618,70.1385,69.264,68.6677,65.4296,58.2754
73.106,72.9877,72.4658,73.8594,72.5375,72.6262,74.8123,70.0591,69.9056,68.4947,63.6052,56.2441
71.9363,72.1314,73.1168,73.2395,72.8637,72.8137,74.3832,69.309,69.2208,68.9084,63.7689,56.6235
